Student,Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,Q 31,Q 32,Q 33,Q 34
Student1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student2, 3, 4, 4, 1, 2, 3, 3, 3, 1, 2, 2, 2, 2, 0, 2, 0, 1, 1, 1, 3, 1, 1, , , , , , , , , , , , 
Student3, 3, 4, 4, 1, 2, 3, 3, 3, 1, 2, 2, 2, 2, 0, 2, 0, 1, 1, 1, 3, 1, 1, , , , , , , , , , , , 
Student4, 4, 4, 4, 2, 3, 3, 2, 3, 3, 1, 2, 1, 0, 0, 3, 2, 1, 2, 2, 1, 2, 2, , , , , , , , , , , , 
Student5, 4, 4, 4, 2, 3, 4, 4, 3, 3, 4, 2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2, 2, , , , , , , , , , , , 
Student6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student7, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student8, 4, 4, 3, 1, 4, 2, 4, 4, 4, 1, 2, 2, 2, 2, 4, 1, 3, 2, 2, 0, 2, 1, , , , , , , , , , , , 
Student9, 4, 4, 4, 1, 4, 1, 4, 4, 4, 1, 3, 2, 4, 1, 4, 1, 3, 2, 2, 0, 2, 2, , , , , , , , , , , , 
Student10, 2, 3, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, , , , , , , , , , , , 
Student11, 2, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, , , , , , , , , , , , 
Student12, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 2, 2, 3, 2, , , , , , , , , , , , 
Student13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 1, 0, 0, 0, 1, , , , , , , , , , , , 
Student14, 3, 2, 4, 3, 4, 3, 2, 3, 4, 4, 3, 3, 3, 4, 4, 2, 4, 3, 2, 4, 2, 1, , , , , , , , , , , , 
Student15, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , 
Student16, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 4, 4, 3, 4, 3, 4, , , , , , 
Student17, 4, 4, 4, 3, 4, 2, 3, 4, 3, 4, 3, 2, 4, 4, 4, 4, 4, 4, 2, 1, 4, 4, , , , , , , , , , , , 
Student18, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , 
Student19, 2, 2, 1, , 3, 4, 4, 4, 4, 2, 4, 3, 4, 2, 1, 0, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student20, 3, 3, 2, 2, 3, 2, 2, 3, 3, 4, 4, 2, 3, 4, 2, 3, 3, 3, 2, 2, 3, 3, , , , , , , , , , , , 
Student21, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student22, 4, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, , , , , , , , , , , , 
Student23, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 2, 3, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, , , , , , , , , , , , 
Student24, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student25, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, , , , , , , , , , , , , , , , , , 
Student26, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student27, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, , , , , , , , , , , , 
Student28, 4, 4, 4, 3, 3, 4, 2, 3, 2, 2, 2, 3, 2, 2, 4, 2, 1, 3, 2, 3, 2, 2, , , , , , , , , , , , 
Student29, 4, 4, 4, 3, 3, 4, 4, 3, 2, 4, 4, 3, 2, 2, 4, 2, , , , , , , , , , , , , , , , , , 
Student30, 2, 2, 4, 4, 2, 2, 4, 4, 4, 3, 4, 4, 2, 2, 4, 3, 2, 2, 3, 3, 2, 1, 3, 2, 2, 4, 4, 2, , , , , , 
Student31, 2, 4, 4, 3, 3, 4, 4, 4, 4, 2, 3, 4, 2, 2, 4, 4, 2, 2, 3, 3, 2, 1, 3, 2, 2, 4, 4, 2, 3, 2, 2, 4, 4, 2
Student32, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 1, 0, 2, 4, 3, 3, 2, 3, 3, 3, 0, 4, 3, 3, 4, 4, 4, , , , , , 
Student33, 4, 4, 4, 3, 4, 2, 1, 4, 3, 4, 0, 4, 2, 0, 1, 2, , , , , , , , , , , , , , , , , , 
Student34, 4, 4, 4, 2, 1, 0, 3, 4, 3, 4, 4, 4, 4, 1, 4, 4, , , , , , , , , , , , , , , , , , 
Student35, 2, 2, 2, 1, 3, 1, 2, 1, 4, 3, 1, 1, 0, 2, 3, 0, 1, 1, 2, 0, 0, 0, , , , , , , , , , , , 
Student36, 2, 2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, , , , , , , , , , , , 
Student37, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 1, 2, 2, 3, 2, 2, 3, 2, 2, 1, 2, , , , , , , , , , , , 
Student38, 3, 3, 2, 3, 4, 3, 3, 3, 3, 3, 2, 2, 2, 3, 4, 3, 2, 3, 2, 1, 2, 1, , , , , , , , , , , , 
Student39, 4, 4, 3, 1, 3, 2, 2, 2, 2, 3, 0, 3, 1, 2, 3, 2, 2, 2, 2, 3, 1, 1, , , , , , , , , , , , 
Student40, 4, 2, 3, 2, 4, 3, 2, 3, 3, 0, 1, 2, 0, 1, 4, 4, 4, 3, 2, 3, 4, 1, , , , , , , , , , , , 
Student41, 3, 3, 3, 2, 4, 3, 0, 4, 1, 2, 2, 0, 0, 1, 3, 3, 3, 2, 1, 2, 4, 0, , , , , , , , , , , , 
Student42, 3, 2, 1, 3, 4, 3, 4, 4, 4, 4, 3, 0, 3, 1, 3, 4, 3, 4, 3, 3, 4, 4, , , , , , , , , , , , 
Student43, 3, 2, 1, 2, 1, 2, 0, 1, 1, 0, 0, 0, 1, 1, 3, 0, 0, 1, 0, 0, 1, 1, , , , , , , , , , , , 
Student44, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 3, 0, 3, 3, , , , , , , , , , , , 
Student45, 2, 2, 2, 2, 3, 3, 1, 1, 2, 0, , 0, 2, 2, 1, 4, 3, 3, 2, 3, 2, 3, , , , , , , , , , , , 
Student46, 2, 2, 4, 3, 4, 3, 2, 3, 4, 1, 3, 0, 2, 0, 4, 1, 3, 2, 2, 0, 2, 3, , , , , , , , , , , , 
Student47, 3, 2, 3, 3, 3, 3, 0, 4, 3, 1, 2, 3, 3, 1, 3, 2, 3, 2, 3, 1, 1, 1, , , , , , , , , , , , 
Student48, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 2, 3, 1, 1, 1, , , , , , , , , , , , 
Student49, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student50, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student51, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, , , , , , 
Student52, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student53, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2, 4, 4, 4, 4, 4, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, , , , , , 
Student54, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, , , , , , 
Student55, 3, 3, 3, 2, 4, 4, 2, 2, 3, 1, 2, 2, 2, 3, 4, 4, 3, 3, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 3, 1, 2
Student56, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student57, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , , , , , , , 
Student58, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student59, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 2, 2, 3, 2, , , , , , , , , , , , 
Student60, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, , , , , , 
Student61, 1, 2, 0, 3, 1, 0, 2, , 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 1, 1, 0, , , , , , , , , , , , 
